time,Chambre1_heaGai_reaCon_y,Chambre1_heaGai_reaLat_y,Chambre1_heaGai_reaRad_y,Chambre1_heaGai_reaTot_y,Chambre2_heaGai_reaCon_y,Chambre2_heaGai_reaLat_y,Chambre2_heaGai_reaRad_y,Chambre2_heaGai_reaTot_y,Chambre3_heaGai_reaCon_y,Chambre3_heaGai_reaLat_y,Chambre3_heaGai_reaRad_y,Chambre3_heaGai_reaTot_y,Combles_heaGai_reaCon_y,Combles_heaGai_reaLat_y,Combles_heaGai_reaRad_y,Combles_heaGai_reaTot_y,Couloir_heaGai_reaCon_y,Couloir_heaGai_reaLat_y,Couloir_heaGai_reaRad_y,Couloir_heaGai_reaTot_y,Garage_heaGai_reaCon_y,Garage_heaGai_reaLat_y,Garage_heaGai_reaRad_y,Garage_heaGai_reaTot_y,SDB_heaGai_reaCon_y,SDB_heaGai_reaLat_y,SDB_heaGai_reaRad_y,SDB_heaGai_reaTot_y,Salon_heaGai_reaCon_y,Salon_heaGai_reaLat_y,Salon_heaGai_reaRad_y,Salon_heaGai_reaTot_y
9000,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9900,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10800,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11700,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12600,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13500,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14400,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15300,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16200,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17100,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18000,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18900,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19800,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20700,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21600,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22500,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23400,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24300,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25200,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26100,9.765,0,85.8762,95.6412,8.61875,0,75.79575,84.4145,12.495,0,109.8846,122.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,233.3124,259.8424
27000,9.765,0,85.8762,95.6412,8.61875,0,75.79575,84.4145,12.495,0,109.8846,122.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,233.3124,259.8424
27900,9.765,0,85.8762,95.6412,8.61875,0,75.79575,84.4145,12.495,0,109.8846,122.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,233.3124,259.8424
28800,9.765,0,85.8762,95.6412,8.61875,0,75.79575,84.4145,12.495,0,109.8846,122.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,233.3124,259.8424
29700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
30600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
32400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
33300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
34200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
35100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
36900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
66600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
67500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
68400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
69300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
70200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
71100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
72000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
72900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
73800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
74700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
75600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
76500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
77400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
78300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
79200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
80100,9.765,0,9.765,19.53,8.61875,0,8.61875,17.2375,12.495,0,12.495,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,26.53,53.06
81000,9.765,0,9.765,19.53,8.61875,0,8.61875,17.2375,12.495,0,12.495,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,26.53,53.06
81900,9.765,0,9.765,19.53,8.61875,0,8.61875,17.2375,12.495,0,12.495,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,26.53,53.06
82800,9.765,0,9.765,19.53,8.61875,0,8.61875,17.2375,12.495,0,12.495,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,26.53,53.06
83700,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84600,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85500,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86400,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87300,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88200,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89100,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90900,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91800,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92700,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93600,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94500,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95400,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96300,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97200,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98100,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99000,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99900,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100800,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101700,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102600,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103500,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104400,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105300,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106200,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107100,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108000,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108900,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109800,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110700,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111600,19.53,0,19.53,39.06,17.2375,0,17.2375,34.475,24.99,0,24.99,49.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112500,9.765,0,85.8762,95.6412,8.61875,0,75.79575,84.4145,12.495,0,109.8846,122.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,233.3124,259.8424
113400,9.765,0,85.8762,95.6412,8.61875,0,75.79575,84.4145,12.495,0,109.8846,122.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,233.3124,259.8424
114300,9.765,0,85.8762,95.6412,8.61875,0,75.79575,84.4145,12.495,0,109.8846,122.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,233.3124,259.8424
115200,9.765,0,85.8762,95.6412,8.61875,0,75.79575,84.4145,12.495,0,109.8846,122.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,233.3124,259.8424
116100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
117900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
118800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,259.8424,312.9024
119700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
120600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
121500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
122400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06,0,53.06,106.12
123300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
